thickness,twc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,twc_dup,effective_permittivity_19,effective_permittivity_06
0.5,0.02,1,145.96957927169186,208.27517879048764,152.38479291041267,205.9671036398958,170.10057716655004,211.10475898359988,206.17898752140573,230.82604748539225,126.26826092030522,193.35856747544176,0.5,0.02,,
0.5,0.04,2,153.73077943783537,211.90347465854887,164.29532827908335,212.51150387744852,184.620096448013,220.35377003308236,216.63568774404732,238.36840178746095,126.83888124178854,193.63535163791528,0.5,0.04,,
0.5,0.06,3,160.87947024057814,215.27006850969343,174.59359456396888,218.06302629049878,196.58958157198072,227.9295153966708,224.97125163724635,244.34083754951314,127.406157559302,193.9121525537908,0.5,0.06,,
0.5,0.08,4,167.0681374344681,217.81968356151367,183.7459526615019,223.13024170972741,206.19866635442523,233.78227800653647,231.65454046233862,249.11739335377476,127.97551716409336,194.19729522834143,0.5,0.08,,
0.5,0.1,5,173.17474612832646,220.7791120890938,191.66557586750704,227.44107326598362,214.45629603865427,239.03822144798255,237.03469363489148,252.96331634377117,128.5075007213706,194.42986808594122,0.5,0.1,,
0.5,0.12,6,178.7927749069289,223.51790350995097,198.7404881637648,231.42416645596188,221.33001308205823,243.43438223820561,240.86503548953476,255.4530992767456,129.0629952432124,194.70339914706193,0.5,0.12,,
0.5,0.14,7,183.82775657540463,225.82649724491307,204.83545990930932,234.77359825090514,227.06123479457978,247.12235083985655,244.43948667697305,258.0512418083141,129.61222493682612,194.97214846012884,0.5,0.14,,
0.5,0.16,8,188.58770367457743,228.1565605613482,210.2154970310792,237.77041582973544,231.84595674796583,250.22243845268906,247.34443879988353,260.1742966593652,130.1574310130901,195.23934285385167,0.5,0.16,,
0.5,0.18,9,192.97912185939012,230.3223294812852,214.9332276295642,240.376871101013,235.56968185360265,252.45848369379064,249.71070325208484,261.9147992399796,130.7011951806535,195.50693936266129,0.5,0.18,,
0.5,0.2,10,197.0319986797089,232.3363362726871,219.17266084007096,242.8331113001076,238.93591176071683,254.68711737666416,251.6424928636554,263.3461029704952,131.23992568085635,195.77330455617096,0.5,0.2,,
0.5,0.22,11,200.77400838105123,234.2104050733954,222.69809119550254,244.7174600131725,241.7476152382064,256.55712475361827,253.22312124180314,264.52669859218145,131.75057528374813,195.9893449088208,0.5,0.22,,
0.5,0.24,12,204.22982676373846,235.9544463274377,226.01051896531385,246.68325727774297,244.08340953576987,258.1063107766717,254.51937334544687,265.5034314508413,132.3209539356736,196.31885502717182,0.5,0.24,,
