snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
3189,226.7454415226787,256.9584848225617,231.96395734130317,261.02449331632715,235.97624472424584,263.4731249190777,238.524027670738,264.77788136652623,0.9,106,5
3190,227.24924806202014,257.9355841935961,232.10164289013727,261.54641719775964,235.79776316649685,263.53094645224536,238.48384979296773,264.88075162269587,1.0,106,5
3191,227.6903392424214,260.45942271719406,231.4207083764956,262.4171913983579,235.68809830864,264.33939565515067,238.65747818330865,265.74889982781076,1.4,106,5
3192,227.12092664799235,261.82030196308625,230.64881554245912,263.022441372978,235.53922314345957,265.02789741645336,238.30309841120643,265.9417631668327,1.8,106,5
3193,226.14622868359245,262.6204229477893,230.3305326045614,264.03336601851987,234.97301552427234,265.34131362153175,237.89169830860726,266.0508058603598,2.2,106,5
3194,224.93845895656003,263.1577347136957,229.68464573654595,264.7181259626614,234.44295568825987,265.5651175377465,237.48544893631674,266.1394291340282,2.6,106,5
3195,223.6947438610177,263.50114380130543,228.92818839796766,265.1215890928009,233.91820544897524,265.7366055340925,237.0905476582308,266.21496340032,3.0,106,5
3196,222.39055737719653,263.7847524054295,227.98564648468513,265.3473540499182,233.32717628229324,265.85243302038157,236.70645738563894,266.27806312034613,3.4000000000000004,106,5
3197,221.3080045163755,264.2573289227166,227.0867817439071,265.48815210646376,232.77346961439466,265.9330639522071,236.23299903243785,266.318934574742,3.8000000000000003,106,5
3198,220.3327596629194,264.7064587090641,226.0898574201911,265.52908315906143,232.23718012810792,265.97536048025063,235.85390866800785,266.35502007323873,4.2,106,5
3199,219.1791001562726,264.9337761683539,225.09886534549634,265.50623428635197,231.64196212487838,265.96572688020024,235.48604250705841,266.3777622396203,4.6,106,5
3200,217.96160780230485,265.0198213186359,224.13768931240313,265.43647408180135,231.07912728904387,265.92573097632675,235.12581493586916,266.3866989540097,5.0,106,5
3201,212.6759686596866,264.49237693240394,219.97278417946822,264.5874224263399,228.6135948536759,265.36114037289093,233.57188208063639,266.2561717508284,6.666666666666667,106,5
3202,205.26713623431084,263.7131637005311,215.3372907431315,262.5513338113521,225.43001738501235,263.6334580678487,232.039426709714,265.8746944723229,8.333333333333334,106,5
3203,199.7301149868588,262.04163577821254,208.16901051488486,261.7071093787114,222.79964854539156,262.1939895722792,230.48969926218572,265.25757213562446,10.0,106,5
3204,194.83250079447208,260.30837478065274,204.12364925262833,260.15487932774545,220.1228031340866,260.4575086350403,228.25275724983797,263.73968973300686,11.666666666666668,106,5
3205,189.99041555729093,258.06875910418813,199.6293459981611,257.87691768964703,217.46272375037583,258.52361157145043,226.62383122777356,262.7452055380814,13.333333333333334,106,5
