,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth,site,season
128,230.6633758839333,259.522878610221,233.21295016583372,261.79965274997744,236.88147418968438,265.12828524217065,235.0142860648226,263.12472853489504,23,3,1.4000000000000001,aws11,autumn
129,225.99686122523775,256.4518843531077,229.1423912525117,259.1868671163731,234.34041245853783,263.34971630354505,235.04706574300968,263.0843322012574,23,3,1.5,aws11,autumn
130,226.06449944116568,256.5118229937246,229.2427751538293,259.27324810202646,234.41129133068347,263.39992539665144,234.9051703640548,262.94218844166585,23,3,1.6,aws11,autumn
131,226.1266306872346,256.5668176026846,229.33217774328187,259.348809017632,234.45918179457092,263.426895550899,234.77159470897686,262.8069476804117,23,3,1.7000000000000002,aws11,autumn
132,226.3791774983913,256.85233024053497,229.43766654081102,259.4438707309594,234.50099968134936,263.44853691592954,234.6574998251869,262.69130280455,23,3,1.8,aws11,autumn
133,226.40216224542687,256.99996895631915,229.38290541123746,259.48554057197555,234.60180881993026,263.61514759993963,234.67065492945247,262.74058193697584,23,3,1.9000000000000001,aws11,autumn
134,227.82236581399366,258.6366882342157,230.6487496728244,260.9898475027494,235.3647170493271,264.57537331915495,234.66108995294,262.75076405298137,23,3,2.0,aws11,autumn
135,227.93471768638585,258.6394439248233,230.87175937423737,261.10069862720064,235.2289991102836,264.3010953051359,234.28723812757244,262.3368470946578,23,3,2.4,aws11,autumn
136,228.266813837628,258.8506664953652,231.06168535390086,261.16027074808335,234.97594860474325,263.93137011006525,234.07669962359427,262.1060055303457,23,3,2.8,aws11,autumn
137,227.99357135447934,258.804975250609,230.82805282061068,261.05730216692484,234.49927881589886,263.41976947213357,233.95696079532925,261.97667874580304,23,3,3.2,aws11,autumn
138,228.08446206070516,258.85489210450595,230.78940228476208,260.959693651422,233.95527547355806,262.7909827283192,232.55492489171445,260.51448830134194,23,3,3.6,aws11,autumn
139,228.10420947680777,258.8430363669245,230.59986055339837,260.71625409331216,233.18315245575425,261.9363578584924,232.55492489171445,260.51448830134194,23,3,4.0,aws11,autumn
140,227.79027587269954,258.5996819205626,230.25673164087092,260.46091707465706,231.2148604075153,259.90176598695217,232.49495918123534,260.46912107207356,23,3,4.4,aws11,autumn
141,227.68707946516972,258.57751642723326,229.46416801019953,259.61009829866634,231.24418051653106,259.8189877818645,232.55492489171445,260.51448830134194,23,3,4.800000000000001,aws11,autumn
142,227.50296740145896,258.368107574571,228.7009588558613,258.8018976141148,230.46289661799148,258.9527093667904,232.55492489171445,260.51448830134194,23,3,5.2,aws11,autumn
143,227.24495071245417,258.08651024700157,227.792959408818,257.84508101617985,229.86849121984378,258.29291779586237,232.55492489171445,260.51448830134194,23,3,5.6,aws11,autumn
144,226.87612363561453,257.6930081445109,226.69427481234388,256.6836808666633,229.48122132241718,257.86549523503237,232.55492489171445,260.51448830134194,23,3,6.0,aws11,autumn
145,226.11319100541445,257.0311549468601,225.29428416943296,255.22617999684607,229.24385148817203,257.6062690995354,232.55492489171445,260.51448830134194,23,3,6.4,aws11,autumn
146,225.49151686240447,256.3832766058551,223.5699206674455,253.29169638824658,229.1138457005898,257.46579193453147,232.55492489171445,260.51448830134194,23,3,6.800000000000001,aws11,autumn
147,224.72619610373442,255.58587953002322,222.2717894795977,251.89120979883606,227.91696079236317,256.189802556552,232.55492489171445,260.51448830134194,23,3,7.2,aws11,autumn
148,223.7895850746898,254.60509115258307,221.0435912320484,250.55176376729685,228.09815997333766,256.3832312639615,232.55492489171445,260.51448830134194,23,3,7.6000000000000005,aws11,autumn
149,222.7126438860284,253.47238220591953,220.09916878296778,249.53908925564866,228.09815997333766,256.3832312639615,232.55492489171445,260.51448830134194,23,3,8.0,aws11,autumn
150,216.59328429625828,247.03371905314404,217.14317775370233,246.23936226674323,228.09815997333766,256.3832312639615,232.55492489171445,260.51448830134194,23,3,10.0,aws11,autumn
151,207.395361648765,236.9650956527984,214.64020074147447,243.53454693929226,228.17783033426144,256.43931169064837,232.55492489171445,260.51448830134194,23,3,15.0,aws11,autumn
152,222.70822365445298,259.66740928123335,226.36512496317204,261.58079237906827,230.875912020971,263.8023608453993,233.90129232388836,265.31008247469003,54,4,0.0,aws11,autumn
153,229.82631835483272,259.45132170080143,231.95256232106303,261.48074810368536,234.68314928178586,263.94498978847275,236.5991283460363,265.69532827427304,54,4,0.1,aws11,autumn
154,229.83684160400114,259.37274322784236,231.9235021436286,261.38197036153167,234.9614837282799,264.14510899105983,236.9427784672711,265.95588256585734,54,4,0.2,aws11,autumn
155,229.77257339687762,259.3670364051564,232.03825076908072,261.4318521061835,235.12204566375905,264.32075084411656,237.13882701442634,266.07732798608725,54,4,0.30000000000000004,aws11,autumn
156,229.7656527173296,259.28532591241077,232.02792211972962,261.31410326879023,235.1358205956918,264.19491420388266,236.8190821618274,265.5592076061976,54,4,0.4,aws11,autumn
157,229.7524032257158,259.21164134165485,232.1009885141037,261.44194731864206,235.50434559436624,264.54499092229315,237.09214201819822,265.94087733555114,54,4,0.5,aws11,autumn
158,229.85654039300002,259.2533720027358,232.12912875690824,261.4181404749452,235.75829083787485,264.7435627179362,237.024709681793,265.83933160777104,54,4,0.6000000000000001,aws11,autumn
159,229.79217452907838,259.1953727775079,232.24862809084158,261.4771379989859,235.96688988023283,264.8880963312691,236.88262689317895,265.6563068735459,54,4,0.7000000000000001,aws11,autumn
160,229.89697122698712,259.2593317903447,232.3860819346059,261.5528824658581,236.07316448393345,264.99434798184467,236.69890986942374,265.4332752739917,54,4,0.8,aws11,autumn
161,229.88179316152159,259.15673414838665,232.22811467203698,261.3353438331058,235.93175617103793,264.69655706515493,236.16338117622252,264.7574913437067,54,4,0.9,aws11,autumn
162,229.91520416530972,259.23270763041864,232.39729382701572,261.52020369781746,236.2259166796824,265.00557777802874,236.2066055246733,264.88225102947257,54,4,1.0,aws11,autumn
163,230.18174241245,259.3671004503046,232.69022491034733,261.7138970200945,236.4818062933025,265.2026352073388,235.9690476975701,264.6140141474531,54,4,1.1,aws11,autumn
164,230.23989196696667,259.41076152037186,232.7920953960277,261.7937120241318,236.5920097332677,265.2774801361476,235.74401017502518,264.3642428509553,54,4,1.2000000000000002,aws11,autumn
165,230.143492126384,259.3751790323706,232.5662937440658,261.6337608986593,236.53423167365443,265.2364327206306,235.53277250967213,264.13432152444204,54,4,1.3,aws11,autumn
166,230.32572008884287,259.61060628326754,232.8837978956025,261.92299424126224,236.46977287847176,265.15694666627604,234.5378099443406,263.0966967159633,54,4,1.4000000000000001,aws11,autumn
167,226.77028266160457,257.97199700713,229.6469470118018,260.42708241169464,234.53538892560377,264.171418107184,234.77050204141423,263.32980876278515,54,4,1.5,aws11,autumn
168,226.58302921297727,257.6961719294335,229.47509244930797,260.14631715588376,234.46573577848412,264.02747901785375,234.6028430042734,263.1504723979014,54,4,1.6,aws11,autumn
169,226.48425045740723,257.53549910563413,229.43361362363402,260.0433810052238,234.45818380965858,263.9778616974894,234.43837480716235,262.9712562901896,54,4,1.7000000000000002,aws11,autumn
170,226.52256965599977,257.5537195445878,229.48449294491422,260.0653363796879,234.48491352793394,263.9787547294463,234.30880225877772,262.8326233029529,54,4,1.8,aws11,autumn
171,226.4410142131161,257.54809067018067,229.41129619328717,260.0137430432495,234.50039476497884,264.01944685395165,234.25928319557147,262.7959926087795,54,4,1.9000000000000001,aws11,autumn
172,227.38058203579354,258.554085448298,230.29490673076677,261.0088034034157,234.97981183805197,264.59112366316344,234.19510100304004,262.73346236959736,54,4,2.0,aws11,autumn
173,227.66031943394444,258.74197045221695,230.53622755572997,261.14695530456805,234.8638584221393,264.3421908253808,233.83541019784568,262.33604220180564,54,4,2.4,aws11,autumn
174,227.98616122641403,258.94956876870395,230.7215755451575,261.20478381871385,234.61670120421982,263.97944103106,233.62926035434702,262.109981337818,54,4,2.8,aws11,autumn
175,227.6957552251799,258.895396134691,230.4758477462004,261.09524945272915,234.1425865048364,263.47282508589757,233.51067497586564,261.98180303411556,54,4,3.2,aws11,autumn
176,227.78278103815904,258.94146856267633,230.44484962869464,260.9988576115552,233.6011706883742,262.84744903286037,232.1079839389193,260.51729410485615,54,4,3.6,aws11,autumn
177,227.80632230169246,258.9293766954543,230.24166236758327,260.7479007645541,232.823859096986,261.98782112084774,232.1079839389193,260.51729410485615,54,4,4.0,aws11,autumn
178,227.48230669448228,258.68315269901694,229.87646914896322,260.4746550658586,230.84610322558976,259.93660056876945,232.04952919860912,260.46584867888714,54,4,4.4,aws11,autumn
179,227.36228601022063,258.6507381726964,228.97010084123897,259.50621846959166,230.85578469748373,259.83776119507326,232.1079839389193,260.51729410485615,54,4,4.800000000000001,aws11,autumn
180,227.1692020066446,258.4322797720123,228.27293051833362,258.77140601021455,230.06861818577718,258.96366121226544,232.1079839389193,260.51729410485615,54,4,5.2,aws11,autumn
